pathogen,antibiotic,resistance_level,collection_date,location
Salmonella,Ciprofloxacin,Medium,2023-08-03,Port Coreybury
E. coli,Ciprofloxacin,Low,2021-11-05,Port Alexton
Campylobacter,Levofloxacin,Low,2021-04-06,West Evan
E. coli,Levofloxacin,High,2022-10-11,West Charles
Salmonella,Erythromycin,Medium,2020-12-28,Barrettside
Salmonella,Ceftriaxone,Medium,2022-07-10,West Jamesport
Salmonella,Doxycycline,Low,2021-11-01,East Richardburgh
Campylobacter,Chloramphenicol,Low,2020-11-21,Wrighttown
E. coli,Amoxicillin,Low,2024-01-19,Lake Pamelatown
Campylobacter,Doxycycline,Low,2022-02-23,New Christopherburgh
Salmonella,Levofloxacin,Low,2023-03-13,South Angela
Salmonella,Trimethoprim,Low,2022-12-21,Port Tara
Campylobacter,Azithromycin,Medium,2022-06-07,North Melissatown
Campylobacter,Ceftriaxone,High,2020-09-14,North Krystalborough
E. coli,Erythromycin,Medium,2021-03-25,New Lisa
Campylobacter,Nitrofurantoin,Medium,2022-06-18,Port Manuelshire
Campylobacter,Norfloxacin,Low,2020-06-06,East Kathleen
E. coli,Trimethoprim,Low,2020-06-03,Perezshire
Campylobacter,Gentamicin,Medium,2020-04-08,Lake Kennethtown
Campylobacter,Azithromycin,High,2020-05-15,Lake Antonioberg
E. coli,Trimethoprim,Low,2023-02-19,North Eddie
Salmonella,Erythromycin,Low,2021-03-07,Port Kristin
E. coli,Erythromycin,Medium,2022-07-09,East Eric
E. coli,Norfloxacin,Medium,2021-06-12,Dianafort
E. coli,Ciprofloxacin,Medium,2023-04-13,West Stephanie
E. coli,Ciprofloxacin,Low,2024-10-28,East Richard
E. coli,Nitrofurantoin,High,2023-07-29,Walshmouth
E. coli,Azithromycin,Medium,2024-02-12,Port Brittneyview
Salmonella,Levofloxacin,High,2024-08-08,Smithland
Salmonella,Doxycycline,Medium,2020-12-04,East Kelseyfort
Campylobacter,Chloramphenicol,Low,2020-02-14,East Williamtown
Campylobacter,Nitrofurantoin,Medium,2024-02-09,Beckerview
Campylobacter,Nitrofurantoin,High,2021-02-09,Lake Emily
Campylobacter,Doxycycline,Medium,2020-01-07,Hinesport
E. coli,Gentamicin,Low,2024-04-24,Ochoastad
Campylobacter,Amoxicillin,Low,2024-01-17,North Angela
E. coli,Amoxicillin,High,2020-02-14,Calvinport
Salmonella,Doxycycline,Medium,2022-09-08,Gonzalezmouth
Campylobacter,Amoxicillin,Low,2021-01-14,East Dennismouth
Salmonella,Doxycycline,High,2022-07-18,Gregorymouth
E. coli,Gentamicin,High,2020-03-09,Lake Eric
E. coli,Norfloxacin,High,2022-04-22,North Anna
E. coli,Doxycycline,High,2022-03-21,Ericmouth
Salmonella,Erythromycin,Medium,2021-01-28,Justinchester
Salmonella,Doxycycline,Medium,2020-01-18,Ortizbury
Salmonella,Amoxicillin,Medium,2024-04-10,North Hollyland
Campylobacter,Doxycycline,High,2020-10-09,South Jennifer
Salmonella,Ciprofloxacin,High,2022-10-26,South Matthewhaven
Campylobacter,Doxycycline,Medium,2024-07-24,New Patricia
Salmonella,Chloramphenicol,Medium,2020-04-30,Shaunfort
Campylobacter,Doxycycline,Low,2021-05-27,West Donnaton
E. coli,Levofloxacin,High,2021-01-13,Whitneyhaven
E. coli,Trimethoprim,High,2023-06-30,Hillland
E. coli,Norfloxacin,Low,2020-07-29,Lake Nicolebury
Campylobacter,Erythromycin,Low,2021-09-18,Lisaview
E. coli,Erythromycin,High,2024-08-22,Rebeccatown
Salmonella,Amoxicillin,Low,2022-10-10,New Thomas
Campylobacter,Trimethoprim,High,2020-02-10,North Sarah
E. coli,Levofloxacin,High,2021-04-24,South Monica
E. coli,Nitrofurantoin,Low,2023-09-19,Lindseyborough
Campylobacter,Nitrofurantoin,Low,2023-02-20,Georgeview
Campylobacter,Nitrofurantoin,High,2022-04-07,Hicksmouth
Salmonella,Nitrofurantoin,High,2021-09-14,Lopezburgh
Salmonella,Ceftriaxone,High,2024-08-27,Bennetthaven
Campylobacter,Chloramphenicol,High,2024-07-10,Port Latoyaville
E. coli,Nitrofurantoin,Low,2023-08-08,East Sherri
E. coli,Erythromycin,High,2023-08-21,West Nancy
Salmonella,Azithromycin,High,2023-02-23,New Matthewport
E. coli,Nitrofurantoin,High,2021-04-13,Floresview
E. coli,Erythromycin,Medium,2020-08-21,Michaelland
Salmonella,Azithromycin,Medium,2020-05-17,West Michelleport
E. coli,Nitrofurantoin,Medium,2022-06-25,West Taylor
E. coli,Ciprofloxacin,High,2020-09-10,Elizabethstad
Salmonella,Azithromycin,High,2021-06-12,West Mark
Campylobacter,Gentamicin,Medium,2022-11-10,Brownview
Campylobacter,Chloramphenicol,High,2023-02-13,Wrightland
Salmonella,Nitrofurantoin,Low,2024-07-05,Amberview
Salmonella,Ceftriaxone,Medium,2024-11-05,Alexisberg
E. coli,Levofloxacin,Medium,2022-01-25,Jeffreyborough
Salmonella,Levofloxacin,Medium,2022-06-20,New Kathleen
E. coli,Azithromycin,Medium,2022-08-27,Campbellview
Campylobacter,Ceftriaxone,Medium,2023-07-16,West Scott
Salmonella,Norfloxacin,Medium,2023-12-05,Youngborough
Salmonella,Ceftriaxone,High,2022-10-21,Walkerton
Salmonella,Doxycycline,Medium,2023-09-03,Zhangshire
Campylobacter,Gentamicin,Low,2024-03-23,Port Nathanport
E. coli,Amoxicillin,Medium,2020-12-21,Annton
Campylobacter,Erythromycin,Low,2024-01-25,Lake Logan
E. coli,Azithromycin,Medium,2022-01-16,East Danielle
E. coli,Amoxicillin,Medium,2022-11-18,Andrewton
Campylobacter,Levofloxacin,Medium,2024-03-09,Benderborough
Salmonella,Nitrofurantoin,Medium,2023-09-12,New Vincent
E. coli,Norfloxacin,High,2021-11-16,Ballfort
E. coli,Azithromycin,Medium,2022-10-13,Lake Susan
Salmonella,Chloramphenicol,Low,2020-01-12,Juliehaven
Salmonella,Ciprofloxacin,Low,2023-07-16,Lake Shane
Salmonella,Trimethoprim,Medium,2020-08-22,Josephview
Campylobacter,Levofloxacin,High,2021-11-26,Angelafort
E. coli,Ceftriaxone,Low,2021-09-21,Lake Alexanderport
Campylobacter,Doxycycline,Medium,2020-11-29,Kochberg
Salmonella,Levofloxacin,Medium,2024-07-28,Jamesfort
Campylobacter,Amoxicillin,Low,2024-11-08,West Nicole
E. coli,Levofloxacin,High,2023-05-14,Dianabury
Campylobacter,Nitrofurantoin,High,2020-01-22,Williamborough
Campylobacter,Chloramphenicol,Medium,2020-10-24,North Charles
Campylobacter,Gentamicin,Medium,2024-06-16,Albertborough
Salmonella,Chloramphenicol,Medium,2024-01-09,Spencerberg
Salmonella,Trimethoprim,Low,2024-08-20,Mcdanielland
Campylobacter,Nitrofurantoin,Low,2020-07-13,Lake Jose
Salmonella,Chloramphenicol,Low,2022-12-23,Lake Oscarhaven
Campylobacter,Chloramphenicol,Medium,2020-03-01,Christophermouth
E. coli,Chloramphenicol,High,2020-03-29,Kaitlinbury
Campylobacter,Ciprofloxacin,High,2024-04-27,Lake Michelle
E. coli,Trimethoprim,Medium,2023-10-10,Maryport
Salmonella,Nitrofurantoin,Low,2021-04-01,Jamesshire
Campylobacter,Gentamicin,Low,2022-10-24,Phillipfurt
Campylobacter,Doxycycline,Low,2020-09-01,Lake Lorettaland
Salmonella,Levofloxacin,High,2021-04-07,Lake Katherine
E. coli,Gentamicin,Low,2021-11-20,South Jessicaland
E. coli,Amoxicillin,High,2022-03-13,Leemouth
Salmonella,Ciprofloxacin,Low,2020-12-25,Munozchester
Campylobacter,Levofloxacin,Medium,2021-07-17,Perezburgh
Campylobacter,Erythromycin,Low,2023-06-27,East Sarah
Salmonella,Levofloxacin,Medium,2022-08-11,Michaelbury
E. coli,Gentamicin,High,2020-02-17,Gordontown
Salmonella,Chloramphenicol,High,2020-10-18,Smithberg
Salmonella,Ciprofloxacin,Low,2021-06-09,Nguyenfort
Salmonella,Levofloxacin,Medium,2024-09-06,Zacharyhaven
E. coli,Norfloxacin,Medium,2023-12-08,Jasonton
E. coli,Erythromycin,Low,2024-09-02,East Jessica
Salmonella,Trimethoprim,Medium,2021-02-17,Elizabethbury
Salmonella,Erythromycin,Medium,2024-11-10,Danielbury
E. coli,Doxycycline,Low,2023-05-14,East Danielburgh
Campylobacter,Gentamicin,High,2022-08-31,Lake Melinda
Campylobacter,Azithromycin,Medium,2024-07-31,Port Matthew
E. coli,Norfloxacin,Medium,2022-02-04,South Toddberg
Campylobacter,Trimethoprim,Medium,2024-07-27,New Heather
Campylobacter,Nitrofurantoin,Low,2022-03-09,North Cheryl
E. coli,Erythromycin,Medium,2023-06-01,Derekchester
E. coli,Chloramphenicol,Medium,2024-10-13,Port Richard
Salmonella,Levofloxacin,High,2022-12-27,North Jimmy
Salmonella,Norfloxacin,Medium,2024-07-28,East Traceybury
Salmonella,Doxycycline,Medium,2023-12-02,North Elizabeth
E. coli,Nitrofurantoin,Low,2023-10-16,Lake Jessica
Salmonella,Amoxicillin,High,2024-07-13,Diazberg
Salmonella,Chloramphenicol,Medium,2021-12-21,Darrentown
Campylobacter,Ceftriaxone,High,2021-04-09,East Chad
E. coli,Erythromycin,Low,2021-03-13,Smithfort
E. coli,Levofloxacin,Medium,2024-02-10,Aprilburgh
Salmonella,Amoxicillin,Medium,2021-12-26,Travischester
Campylobacter,Trimethoprim,Medium,2024-07-23,Lake Julia
Campylobacter,Chloramphenicol,Medium,2023-11-02,Hayesport
Salmonella,Ciprofloxacin,Medium,2024-08-03,Fosterborough
Salmonella,Doxycycline,Medium,2023-08-09,Maychester
Salmonella,Ceftriaxone,Medium,2022-05-25,Stephanieton
Salmonella,Azithromycin,Medium,2023-01-20,Port Hayley
Salmonella,Azithromycin,High,2023-04-03,Garyview
Salmonella,Chloramphenicol,Medium,2020-12-12,New Kevinfurt
Campylobacter,Erythromycin,High,2022-02-25,North Shannonburgh
E. coli,Trimethoprim,Medium,2024-03-30,North Elizabeth
E. coli,Doxycycline,Medium,2021-12-31,Port Nicoleville
Campylobacter,Azithromycin,Medium,2021-06-29,Lake Phillip
E. coli,Levofloxacin,Medium,2023-11-02,Sarahberg
E. coli,Norfloxacin,High,2023-11-07,North Andrea
Salmonella,Ciprofloxacin,High,2023-10-17,Lindaton
E. coli,Levofloxacin,Low,2022-02-14,Murphyburgh
E. coli,Amoxicillin,Medium,2020-09-19,Benjaminborough
E. coli,Amoxicillin,Medium,2020-07-02,Johnfort
E. coli,Norfloxacin,Medium,2022-01-03,South Mary
Salmonella,Azithromycin,Low,2021-10-19,Fuentesshire
Salmonella,Chloramphenicol,High,2020-10-03,South Raymond
Campylobacter,Gentamicin,High,2024-05-30,Brendafort
Salmonella,Trimethoprim,Low,2020-01-30,Wrightport
Campylobacter,Chloramphenicol,Medium,2023-04-21,Robertchester
E. coli,Chloramphenicol,Medium,2021-01-31,Jonesmouth
Campylobacter,Erythromycin,High,2021-04-09,Port Colleenton
Salmonella,Ciprofloxacin,Low,2021-04-15,Christopherhaven
E. coli,Nitrofurantoin,Low,2021-07-26,North Carolinebury
Campylobacter,Nitrofurantoin,Low,2023-09-12,New Tina
E. coli,Trimethoprim,Low,2024-07-21,Coxberg
Campylobacter,Chloramphenicol,High,2024-06-19,West Shawn
E. coli,Trimethoprim,High,2024-06-16,East Dustin
Salmonella,Doxycycline,High,2020-10-03,Blackburgh
Campylobacter,Ceftriaxone,Low,2020-01-24,Jamesmouth
Salmonella,Nitrofurantoin,Medium,2020-10-20,West Sydneymouth
E. coli,Azithromycin,Low,2022-03-26,Melissamouth
Salmonella,Amoxicillin,Medium,2020-03-13,Greggland
Salmonella,Nitrofurantoin,Medium,2023-02-21,West Mark
E. coli,Erythromycin,Low,2020-04-22,Joneston
Salmonella,Erythromycin,Medium,2020-07-07,West Ericport
Campylobacter,Ciprofloxacin,High,2024-08-10,North Brian
Salmonella,Azithromycin,Medium,2021-04-22,West Scottborough
Campylobacter,Chloramphenicol,High,2021-12-16,South John
E. coli,Amoxicillin,Low,2023-04-17,Edwardberg
Salmonella,Ciprofloxacin,High,2021-01-10,South Victor
Salmonella,Amoxicillin,High,2024-01-22,Dunnburgh
Campylobacter,Nitrofurantoin,Medium,2021-03-03,Lake Cristian
Salmonella,Norfloxacin,High,2023-09-01,Meganmouth
Campylobacter,Levofloxacin,Low,2022-07-05,Saraside
Campylobacter,Levofloxacin,Medium,2024-01-30,Samanthaton
E. coli,Amoxicillin,Low,2021-10-18,East Kristinaberg
E. coli,Levofloxacin,High,2024-03-28,Linville
Salmonella,Nitrofurantoin,Low,2024-04-15,Port Brian
Campylobacter,Levofloxacin,Medium,2023-07-20,Snyderstad
Salmonella,Chloramphenicol,High,2021-03-18,West James
E. coli,Ciprofloxacin,Low,2020-01-05,Paulaborough
Salmonella,Ciprofloxacin,Low,2023-08-26,Deborahtown
Campylobacter,Erythromycin,Low,2023-08-01,Watsontown
Salmonella,Amoxicillin,High,2023-10-27,East Amyport
E. coli,Azithromycin,High,2021-10-24,East Robertmouth
Salmonella,Chloramphenicol,Medium,2022-08-21,Danielstad
Campylobacter,Amoxicillin,Medium,2021-04-01,New Scott
Salmonella,Levofloxacin,High,2020-08-03,New Candace
Campylobacter,Norfloxacin,Medium,2023-07-09,Port Audreyside
Salmonella,Trimethoprim,Low,2020-09-18,Carsonburgh
E. coli,Levofloxacin,High,2021-01-09,Pamelahaven
Salmonella,Azithromycin,High,2021-04-24,East Jessicafort
Campylobacter,Erythromycin,High,2021-03-22,East Melissa
Salmonella,Trimethoprim,Medium,2024-02-14,South Matthew
E. coli,Norfloxacin,High,2020-07-22,Port Amyport
Salmonella,Ciprofloxacin,Medium,2020-04-01,North Brendabury
E. coli,Ceftriaxone,High,2023-01-19,West Meganmouth
E. coli,Levofloxacin,High,2022-11-23,Hillbury
E. coli,Gentamicin,High,2021-12-13,Jamesview
Salmonella,Trimethoprim,Medium,2022-02-07,Josephtown
Campylobacter,Gentamicin,High,2020-10-03,North Joseph
Campylobacter,Doxycycline,Low,2022-08-19,Delgadoview
Campylobacter,Doxycycline,Low,2022-06-26,Lawsonfort
E. coli,Chloramphenicol,Low,2020-08-22,Clarkemouth
Salmonella,Trimethoprim,Medium,2021-10-06,Seanbury
E. coli,Trimethoprim,Medium,2024-08-17,Teresachester
E. coli,Trimethoprim,Medium,2024-09-24,New Travis
E. coli,Amoxicillin,Medium,2023-10-30,Lake Matthew
Salmonella,Ciprofloxacin,Medium,2023-10-24,Craigshire
Campylobacter,Levofloxacin,Medium,2020-06-03,Melissaland
Salmonella,Trimethoprim,High,2022-10-11,Jamieville
Salmonella,Gentamicin,High,2024-04-17,New Robertfurt
Campylobacter,Levofloxacin,Medium,2020-06-11,North Yolanda
Salmonella,Azithromycin,Medium,2020-03-05,Smithfort
Salmonella,Nitrofurantoin,Low,2020-04-12,East Shannonshire
Campylobacter,Doxycycline,Medium,2021-08-29,South Danielshire
Campylobacter,Norfloxacin,Medium,2023-06-17,New Jamieville
Salmonella,Ceftriaxone,Medium,2024-05-17,Jonathanmouth
Campylobacter,Azithromycin,Medium,2023-02-03,Johnsonview
E. coli,Trimethoprim,Low,2023-09-15,North David
Salmonella,Doxycycline,Low,2024-01-05,North Kristyborough
E. coli,Azithromycin,Medium,2021-05-01,West Tina
Salmonella,Azithromycin,Low,2021-01-23,North Mary
Campylobacter,Ciprofloxacin,Low,2023-10-31,Jenningsview
Campylobacter,Trimethoprim,High,2022-11-30,Port Debbie
E. coli,Ciprofloxacin,Medium,2021-05-10,South Andreaside
Salmonella,Ciprofloxacin,High,2023-06-04,East Nicholasland
E. coli,Doxycycline,Low,2022-05-17,Kennethfurt
Salmonella,Ceftriaxone,High,2020-03-14,Kathrynburgh
E. coli,Erythromycin,High,2024-01-28,Trujillotown
E. coli,Azithromycin,Medium,2023-06-27,South Ericmouth
Salmonella,Chloramphenicol,Low,2024-05-10,Lake Rhondafort
E. coli,Norfloxacin,High,2023-12-13,Hilltown
Campylobacter,Gentamicin,Low,2020-03-06,Debbieberg
Campylobacter,Erythromycin,Low,2022-03-06,West Heidi
E. coli,Amoxicillin,Medium,2021-06-30,Alyssaberg
Salmonella,Norfloxacin,High,2023-12-06,South Williamburgh
Salmonella,Ceftriaxone,Medium,2020-11-05,North Bonnieton
Salmonella,Gentamicin,High,2021-02-14,Kimberlyshire
Campylobacter,Gentamicin,Low,2020-11-27,Maloneberg
E. coli,Nitrofurantoin,Low,2023-08-13,South Karenchester
Campylobacter,Erythromycin,Low,2021-10-05,Patriciaberg
Campylobacter,Doxycycline,Medium,2023-03-03,West Ashley
Salmonella,Doxycycline,Medium,2022-02-23,West Tracy
Salmonella,Ceftriaxone,Medium,2024-07-16,New Jacob
Salmonella,Levofloxacin,Medium,2024-08-19,Mosesfort
Campylobacter,Chloramphenicol,Medium,2023-04-11,West Joyce
E. coli,Chloramphenicol,Medium,2023-12-09,West Lisabury
Campylobacter,Azithromycin,Low,2023-09-03,Lake Jessicamouth
Salmonella,Ciprofloxacin,Medium,2022-01-24,West Ambermouth
Campylobacter,Levofloxacin,Low,2023-10-07,Mcdonaldburgh
Campylobacter,Doxycycline,High,2020-10-22,West Michael
Salmonella,Erythromycin,Medium,2020-10-25,Fergusonmouth
E. coli,Gentamicin,Low,2024-04-24,Brookeview
Campylobacter,Ceftriaxone,Low,2023-06-13,Port Brendaville
Campylobacter,Amoxicillin,High,2023-06-02,Rubenport
Salmonella,Trimethoprim,Low,2023-06-04,New Laurenview
Campylobacter,Azithromycin,Medium,2020-04-30,Lake Ashleyport
Salmonella,Trimethoprim,Low,2023-02-23,Chasehaven
Salmonella,Chloramphenicol,Medium,2024-09-27,Thomasland
Salmonella,Ciprofloxacin,Low,2024-07-16,Sandershaven
E. coli,Chloramphenicol,Medium,2022-10-28,Lake Carlosshire
Salmonella,Norfloxacin,Medium,2024-05-18,Mistystad
Salmonella,Gentamicin,Medium,2023-04-24,Port Shannonland
Campylobacter,Ceftriaxone,Low,2023-06-29,Philiptown
Salmonella,Ceftriaxone,High,2022-08-05,South Catherine
Campylobacter,Azithromycin,Low,2023-08-31,Smithburgh
Salmonella,Ceftriaxone,Medium,2022-08-22,Roberthaven
E. coli,Chloramphenicol,Medium,2023-06-13,Lake Davidport
E. coli,Erythromycin,High,2020-07-14,South Donaldport
Salmonella,Ciprofloxacin,Low,2021-09-23,Burkechester
E. coli,Gentamicin,High,2020-12-10,West Ryan
Salmonella,Trimethoprim,High,2024-07-11,Scotthaven
Campylobacter,Gentamicin,Low,2023-05-27,New Kristihaven
Campylobacter,Amoxicillin,Medium,2021-08-22,Kylechester
Salmonella,Nitrofurantoin,High,2020-07-13,East Jasmine
Salmonella,Amoxicillin,High,2020-09-09,Port John
Campylobacter,Azithromycin,Low,2022-01-09,Woodardchester
E. coli,Levofloxacin,Medium,2023-11-25,North Roseville
Salmonella,Amoxicillin,High,2022-05-14,Port Melissaberg
E. coli,Chloramphenicol,Low,2020-06-15,East Brooke
E. coli,Gentamicin,Low,2022-12-18,Chadfort
Campylobacter,Erythromycin,High,2022-08-02,South Todd
E. coli,Amoxicillin,Low,2023-09-15,New Bruce
E. coli,Trimethoprim,Low,2021-10-26,New Randall
Salmonella,Erythromycin,High,2021-02-17,Marthaside
Campylobacter,Ceftriaxone,High,2020-12-07,Lake Kelly
Salmonella,Levofloxacin,Low,2020-01-29,Martinside
E. coli,Norfloxacin,High,2022-01-28,Mercadoburgh
Campylobacter,Amoxicillin,Medium,2023-06-11,Kellyfurt
E. coli,Azithromycin,Medium,2022-05-22,Adamsfort
Campylobacter,Chloramphenicol,Low,2024-02-25,South Brittany
Salmonella,Nitrofurantoin,Low,2020-08-27,Port Troy
E. coli,Doxycycline,Medium,2022-11-02,Port Travis
Salmonella,Amoxicillin,High,2024-07-16,Lake Lindaberg
Campylobacter,Trimethoprim,Low,2023-04-02,Port Dianeburgh
E. coli,Azithromycin,Low,2020-12-04,Walkerstad
Campylobacter,Doxycycline,High,2021-04-15,Hillview
Salmonella,Azithromycin,Low,2021-09-25,North Tiffanychester
Campylobacter,Ciprofloxacin,Medium,2021-08-09,New Albert
Campylobacter,Erythromycin,High,2022-08-21,Johnsonhaven
Campylobacter,Azithromycin,Low,2023-05-10,Ortizmouth
Salmonella,Norfloxacin,Low,2024-03-02,Guerratown
E. coli,Chloramphenicol,Low,2021-12-26,Debbiefurt
Campylobacter,Levofloxacin,Medium,2020-01-07,West James
Salmonella,Erythromycin,Low,2020-04-17,Christineberg
Campylobacter,Gentamicin,High,2022-04-12,Ramirezmouth
Campylobacter,Levofloxacin,Medium,2021-03-25,Lake Wendybury
Salmonella,Ciprofloxacin,High,2021-03-03,Port Shelby
Salmonella,Nitrofurantoin,High,2022-02-04,Hunterhaven
E. coli,Chloramphenicol,High,2021-01-15,Vazquezstad
Salmonella,Ceftriaxone,Low,2022-12-06,New James
Salmonella,Gentamicin,Low,2023-07-28,Katiemouth
E. coli,Doxycycline,Medium,2021-03-15,New Shaunburgh
Campylobacter,Nitrofurantoin,High,2024-01-22,Gailtown
Salmonella,Erythromycin,Low,2024-04-05,Lake Josephmouth
E. coli,Azithromycin,Low,2023-01-13,Austinborough
Salmonella,Erythromycin,Medium,2021-10-24,Wilsonchester
E. coli,Azithromycin,High,2021-06-07,Jonesside
Salmonella,Azithromycin,Medium,2024-09-19,Sheribury
Campylobacter,Trimethoprim,Medium,2023-12-27,North Justin
Campylobacter,Nitrofurantoin,High,2023-08-24,South Tamara
Salmonella,Ceftriaxone,Medium,2021-04-03,Edwardsview
Salmonella,Nitrofurantoin,Medium,2024-06-20,Hallhaven
Salmonella,Nitrofurantoin,Medium,2020-04-27,West Jesse
Salmonella,Chloramphenicol,Low,2021-02-27,Sanchezport
Salmonella,Ciprofloxacin,Low,2022-05-14,South Keithport
E. coli,Ciprofloxacin,Low,2024-07-19,West Kimberly
E. coli,Amoxicillin,Medium,2023-03-25,Melissaborough
Salmonella,Azithromycin,Medium,2020-10-06,Austinside
E. coli,Chloramphenicol,High,2020-03-21,Danielside
Salmonella,Trimethoprim,High,2020-01-22,Richardsonfurt
E. coli,Norfloxacin,Medium,2022-11-27,Kentside
E. coli,Ceftriaxone,Medium,2020-01-11,Robinsonberg
Campylobacter,Ciprofloxacin,High,2020-05-26,Moorestad
Salmonella,Trimethoprim,Low,2021-02-21,South Dominiqueland
Salmonella,Levofloxacin,High,2024-09-22,Steeleshire
Campylobacter,Azithromycin,High,2024-07-09,Shawnshire
Campylobacter,Doxycycline,Low,2020-08-07,Chasehaven
Salmonella,Chloramphenicol,Medium,2024-10-14,West Richard
Salmonella,Ciprofloxacin,Medium,2023-07-19,Williamsfurt
Campylobacter,Doxycycline,Low,2021-05-21,Tommymouth
E. coli,Nitrofurantoin,High,2020-02-03,West Kenneth
E. coli,Doxycycline,Low,2021-08-16,Taylorchester
E. coli,Norfloxacin,Medium,2022-01-15,New Jason
Campylobacter,Azithromycin,Medium,2024-03-15,Mercadofurt
E. coli,Levofloxacin,High,2021-07-01,West William
Salmonella,Azithromycin,Medium,2021-02-26,Marissamouth
Campylobacter,Gentamicin,Medium,2022-09-10,East Alishaland
Salmonella,Chloramphenicol,Low,2022-05-26,Port Gabriel
Salmonella,Levofloxacin,High,2023-07-28,East Catherine
Campylobacter,Doxycycline,High,2022-06-13,Johnberg
Campylobacter,Erythromycin,High,2021-11-19,Marshallburgh
